imdb_title_id,year,duration,country,avg_vote,,,,
tt0000574,1906,70,Australia,6.1,,,,
tt0001892,1911,53,"Germany, Denmark",5.9,,,,
tt0002101,1912,100,USA,5.2,,,,
tt0002130,1911,68,Italy,7.0,,,,
tt0002199,1912,60,USA,5.7,,,,
tt0002423,1919,85,Germany,6.8,,,,
tt0002445,1913,120,Italy,6.2,,,,
tt0002452,1912,120,Romania,6.7,,,,
tt0002461,1912,55,"France, USA",5.5,,,,
tt0002646,1913,121,Denmark,6.7,,,,
tt0002844,1913,54,France,7.0,,,,
tt0003014,1913,96,Sweden,7.1,,,,
tt0003037,1913,61,France,7.0,,,,
tt0003131,1914,50,Belgium,6.7,,,,
tt0003165,1913,90,France,7.0,,,,
tt0003167,1914,55,USA,5.7,,,,
tt0003419,1913,85,Germany,6.5,,,,
tt0003471,1913,88,USA,6.1,,,,
tt0003489,1913,88,Italy,6.2,,,,
tt0003637,1915,72,Italy,6.5,,,,
tt0003643,1914,78,USA,6.5,,,,
tt0003657,1914,70,USA,6.6,,,,
tt0003740,1914,148,Italy,7.1,,,,
tt0003772,1914,52,USA,6.1,,,,
tt0003883,1913,100,France,7.6,,,,
tt0003930,1914,59,France,7.0,,,,
tt0003952,1914,70,France,6.9,,,,
tt0003973,1914,63,USA,5.9,,,,
tt0004026,1915,60,Germany,6.8,,,,
tt0004066,1914,84,Denmark,7.0,,,,
tt0004099,1914,59,USA,5.2,,,,
tt0004134,1915,54,USA,6.6,,,,
tt0004150,1914,65,USA,5.9,,,,
tt0004181,1914,61,USA,6.1,,,,
tt0004457,1914,81,USA,5.5,,,,
tt0004465,1914,199,USA,6.4,,,,
tt0004635,1914,74,USA,5.8,,,,
tt0004681,1914,80,USA,6.3,,,,
tt0004707,1914,82,USA,6.3,,,,
tt0004712,1915,67,Hungary,6.3,,,,
tt0004766,1914,55,USA,5.6,,,,
tt0004825,1914,54,USA,6.6,,,,
tt0004838,1914,56,USA,5.7,,,,
tt0004872,1915,50,USA,6.7,,,,
tt0004873,1915,52,USA,6.2,,,,
tt0004972,1915,195,USA,6.4,,,,
tt0005060,1915,59,USA,6.4,,,,
tt0005078,1915,59,USA,6.6,,,,
tt0005149,1915,77,USA,6.1,,,,
tt0005339,1915,67,USA,5.8,,,,
tt0005402,1915,74,USA,6.5,,,,
tt0005529,1916,100,Denmark,6.9,,,,
tt0005557,1915,78,USA,6.6,,,,
tt0005719,1915,71,USA,5.7,,,,
tt0005809,1915,50,USA,6.1,,,,
tt0005916,1915,46,Russia,7.0,,,,
tt0005951,1917,55,Italy,6.9,,,,
tt0005960,1915,72,USA,6.9,,,,
tt0006206,1915,421,France,7.3,,,,
tt0006327,1915,59,USA,6.0,,,,
tt0006333,1916,105,USA,6.2,,,,
tt0006509,1916,50,USA,4.6,,,,
tt0006517,1915,78,USA,6.0,,,,
tt0006589,1916,59,USA,6.8,,,,
tt0006617,1916,60,Sweden,6.1,,,,
tt0006688,1916,57,USA,6.3,,,,
tt0006731,1916,60,USA,5.3,,,,
tt0006736,1916,50,USA,6.6,,,,
tt0006745,1916,58,USA,5.8,,,,
tt0006753,1916,73,USA,6.6,,,,
tt0006780,1916,64,USA,6.8,,,,
tt0006809,1916,62,USA,6.0,,,,
tt0006826,1916,65,USA,5.6,,,,
tt0006864,1916,163,USA,7.8,,,,
tt0006886,1916,300,France,7.4,,,,
tt0007047,1916,46,USA,6.0,,,,
tt0007183,1916,63,Russia,7.0,,,,
tt0007257,1916,50,USA,4.8,,,,
tt0007260,1916,50,USA,6.6,,,,
tt0007309,1916,45,Germany,5.6,,,,
tt0007338,1916,116,USA,6.5,,,,
tt0007340,1916,60,USA,6.6,,,,
tt0007361,1916,63,USA,6.3,,,,
tt0007367,1916,52,USA,5.3,,,,
tt0007558,1916,62,USA,6.4,,,,
tt0007610,1917,61,USA,5.8,,,,
tt0007755,1917,53,USA,6.0,,,,
tt0007801,1917,125,USA,6.5,,,,
tt0007983,1917,72,Germany,6.3,,,,
tt0008011,1917,65,USA,6.2,,,,
tt0008100,1918,97,Denmark,6.6,,,,
tt0008150,1916,138,USA,6.6,,,,
tt0008188,1917,80,USA,5.8,,,,
tt0008196,1917,62,USA,5.8,,,,
tt0008309,1917,68,USA,6.7,,,,
tt0008395,1918,112,Russia,7.2,,,,
tt0008443,1917,65,USA,6.7,,,,
tt0008489,1917,70,USA,6.5,,,,
tt0008499,1917,78,USA,6.2,,,,
tt0008519,1917,70,USA,5.7,,,,
tt0008536,1917,87,Russia,6.9,,,,
tt0008634,1917,57,USA,6.2,,,,
tt0008663,1917,48,Sweden,7.4,,,,
tt0008672,1917,90,Sweden,6.2,,,,
tt0008679,1917,48,USA,4.8,,,,
tt0008687,1917,59,USA,6.2,,,,
tt0008710,1917,87,Sweden,6.7,,,,
tt0008775,1917,72,USA,6.5,,,,
tt0008827,1918,67,USA,5.9,,,,
tt0008843,1919,83,Hungary,6.0,,,,
tt0008854,1918,63,Germany,5.5,,,,
tt0008879,1918,136,Sweden,7.3,,,,
tt0008891,1918,75,USA,7.0,,,,
tt0008950,1918,70,Germany,6.1,,,,
tt0009014,1918,94,France,6.0,,,,
tt0009062,1917,48,Germany,6.2,,,,
tt0009086,1918,62,USA,5.4,,,,
tt0009150,1918,117,USA,6.4,,,,
tt0009241,1918,72,USA,5.2,,,,
tt0009326,1918,73,USA,6.6,,,,
tt0009356,1918,71,USA,5.3,,,,
tt0009369,1918,93,USA,5.9,,,,
tt0009440,1918,60,USA,6.5,,,,
tt0009475,1918,60,USA,4.4,,,,
tt0009559,1919,76,USA,6.1,,,,
tt0009608,1918,60,USA,5.2,,,,
tt0009611,1918,45,USA,7.3,,,,
tt0009652,1918,84,USA,6.7,,,,
tt0009682,1918,73,USA,5.7,,,,
tt0009701,1918,418,France,7.0,,,,
tt0009796,1918,86,USA,6.9,,,,
tt0009878,1919,50,Germany,7.0,,,,
tt0009892,1919,80,USA,5.9,,,,
tt0009893,1919,58,Germany,7.2,,,,
tt0009894,1919,223,Mexico,7.1,,,,
tt0009900,1919,73,Canada,6.3,,,,
tt0009915,1919,70,USA,7.1,,,,
tt0009937,1919,99,"USA, Austria",7.0,,,,
tt0009968,1919,90,USA,7.4,,,,
tt0009976,1919,63,USA,5.7,,,,
tt0010040,1919,85,USA,6.5,,,,
tt0010060,1919,63,USA,6.0,,,,
tt0010071,1919,71,USA,6.7,,,,
tt0010103,1919,78,USA,5.4,,,,
tt0010137,1919,70,USA,5.4,,,,
tt0010162,1919,65,USA,6.6,,,,
tt0010193,1919,80,USA,5.8,,,,
tt0010195,1919,71,USA,6.9,,,,
tt0010208,1919,80,Germany,5.6,,,,
tt0010219,1919,57,USA,3.9,,,,
tt0010227,1919,87,USA,5.7,,,,
tt0010247,1919,122,Sweden,7.3,,,,
tt0010267,1919,78,USA,6.7,,,,
tt0010281,1918,45,Germany,6.9,,,,
tt0010307,1919,166,France,7.7,,,,
tt0010323,1920,76,Germany,8.1,,,,
tt0010418,1919,116,USA,7.0,,,,
tt0010456,1919,58,Germany,6.0,,,,
tt0010466,1919,80,USA,6.7,,,,
tt0010484,1919,95,USA,6.9,,,,
tt0010559,1919,92,Germany,6.4,,,,
tt0010598,1919,75,Denmark,6.6,,,,
tt0010600,1919,48,Germany,7.4,,,,
tt0010635,1919,58,USA,5.2,,,,
tt0010662,1919,77,USA,5.0,,,,
tt0010680,1919,106,Australia,6.3,,,,
tt0010726,1919,81,Germany,6.7,,,,
tt0010755,1919,145,Sweden,6.9,,,,
tt0010806,1919,87,USA,7.0,,,,
tt0010821,1919,112,Germany,6.6,,,,
tt0010844,1919,62,USA,6.6,,,,
tt0010853,1919,64,USA,6.9,,,,
tt0010879,1919,85,USA,6.9,,,,
tt0010890,1919,59,USA,6.5,,,,
tt0010925,1919,58,USA,5.6,,,,
tt0010953,1920,99,Germany,6.3,,,,
tt0010962,1920,100,Germany,6.5,,,,
tt0010969,1921,136,"France, Belgium",6.7,,,,
tt0011000,1920,167,Denmark,6.7,,,,
tt0011130,1920,82,USA,7.0,,,,
tt0011131,1920,40,USA,5.4,,,,
tt0011157,1920,106,Sweden,6.6,,,,
tt0011173,1920,93,Norway,6.3,,,,
tt0011193,1920,88,USA,6.6,,,,
tt0011217,1921,81,"Germany, Denmark",6.4,,,,
tt0011221,1920,88,Germany,6.0,,,,
tt0011237,1920,91,Germany,7.2,,,,
tt0011267,1920,71,USA,5.1,,,,
tt0011294,1924,80,France,7.1,,,,
tt0011302,1920,86,France,7.0,,,,
tt0011317,1920,60,USA,6.3,,,,
tt0011358,1920,50,USA,6.7,,,,
tt0011369,1920,70,Germany,6.1,,,,
tt0011370,1920,54,Sweden,6.9,,,,
tt0011371,1920,64,Germany,6.7,,,,
tt0011387,1920,73,USA,6.7,,,,
tt0011414,1920,60,USA,5.0,,,,
tt0011439,1920,107,USA,7.1,,,,
tt0011440,1921,107,Norway,6.6,,,,
tt0011474,1920,86,USA,6.7,,,,
tt0011513,1920,109,USA,5.7,,,,
