imdb_title_id,country,,,
tt0000574,Australia,,,
tt0001892,"Germany, Denmark",,,
tt0002101,USA,,,
tt0002130,Italy,,,
tt0002199,USA,,,
tt0002423,Germany,,,
tt0002445,Italy,,,
tt0002452,Romania,,,
tt0002461,"France, USA",,,
tt0002646,Denmark,,,
tt0002844,France,,,
tt0003014,Sweden,,,
tt0003037,France,,,
tt0003131,Belgium,,,
tt0003165,France,,,
tt0003167,USA,,,
tt0003419,Germany,,,
tt0003471,USA,,,
tt0003489,Italy,,,
tt0003637,Italy,,,
tt0003643,USA,,,
tt0003657,USA,,,
tt0003740,Italy,,,
tt0003772,USA,,,
tt0003883,France,,,
tt0003930,France,,,
tt0003952,France,,,
tt0003973,USA,,,
tt0004026,Germany,,,
tt0004066,Denmark,,,
tt0004099,USA,,,
tt0004134,USA,,,
tt0004150,USA,,,
tt0004181,USA,,,
tt0004457,USA,,,
tt0004465,USA,,,
tt0004635,USA,,,
tt0004681,USA,,,
tt0004707,USA,,,
tt0004712,Hungary,,,
tt0004766,USA,,,
tt0004825,USA,,,
tt0004838,USA,,,
tt0004872,USA,,,
tt0004873,USA,,,
tt0004972,USA,,,
tt0005060,USA,,,
tt0005078,USA,,,
tt0005149,USA,,,
tt0005339,USA,,,
tt0005402,USA,,,
tt0005529,Denmark,,,
tt0005557,USA,,,
tt0005719,USA,,,
tt0005809,USA,,,
tt0005916,Russia,,,
tt0005951,Italy,,,
tt0005960,USA,,,
tt0006206,France,,,
tt0006327,USA,,,
tt0006333,USA,,,
tt0006509,USA,,,
tt0006517,USA,,,
tt0006589,USA,,,
tt0006617,Sweden,,,
tt0006688,USA,,,
tt0006731,USA,,,
tt0006736,USA,,,
tt0006745,USA,,,
tt0006753,USA,,,
tt0006780,USA,,,
tt0006809,USA,,,
tt0006826,USA,,,
tt0006864,USA,,,
tt0006886,France,,,
tt0007047,USA,,,
tt0007183,Russia,,,
tt0007257,USA,,,
tt0007260,USA,,,
tt0007309,Germany,,,
tt0007338,USA,,,
tt0007340,USA,,,
tt0007361,USA,,,
tt0007367,USA,,,
tt0007558,USA,,,
tt0007610,USA,,,
tt0007755,USA,,,
tt0007801,USA,,,
tt0007983,Germany,,,
tt0008011,USA,,,
tt0008100,Denmark,,,
tt0008150,USA,,,
tt0008188,USA,,,
tt0008196,USA,,,
tt0008309,USA,,,
tt0008395,Russia,,,
tt0008443,USA,,,
tt0008489,USA,,,
tt0008499,USA,,,
tt0008519,USA,,,
tt0008536,Russia,,,
